Reference S. 158,Latin text,,Type,,Weight,,,,Origin,Va1 (a.c.),Va1 (p.c.),Va2 (a.c.),Va2 (p.c.),Va3 (a.c.),Va3 (p.c.),Va4 (a.c.),Va4 (p.c.),Va5 (a.c.),Va5 (p.c.),Va6 (a.c.),Va6 (p.c.),Vb1 (a.c.),Vb1 (p.c.),Vb2 (a.c.),Vb2 (p.c.),Vb3 (a.c.),Vb3 (p.c.),Vb4 (a.c.),Vb4 (p.c.),Vb5 (a.c.),Vb5 (p.c.),Vb6 (a.c.),Vb6 (p.c.),Vb9 (a.c.),Vb9 (p.c.),Vb10 (a.c.),Vb10 (p.c.,Vb11 (a.c.),Vb11 (p.c.),Vb12 (a.c.),Vb12 (p.c.),Vb13 (a.c.),Vb13 (p.c.),Vb14 (a.c.),Vb14 (p.c.),Vb15 (a.c.),Vb15 (p.c.),Vb17 (a.c.),Vb17 (p.c.),Vb18,Vb19 (a.c.),Vb19 (p.c.),Vb20 (a.c.),Vb20 (p.c.),Vb21 (a.c.),Vb21 (p.c.),Vb23 (a.c.),Vb23 (p.c.),Vb24 (a.c.),Vb24 (p.c.),Vb25 (a.c.),Vb25 (p.c.),Vb26 (a.c.),Vb26 (p.c.),Vb27 (a.c.),Vb27 (p.c.)
,Reference text (Maur),Variant,Type,"Context (Bibl., fixed express., etc)",Not easily corrected,Not easily independently made,Length (impact on text),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Titles not yet incorporated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.3,eos,deum,LEX,,1,1,1,3,,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,0,$,0,$,1,$,1,$,1,$,$,1,1,$,$,1,1,$,1,1,$,0,$,1,$,1,$,0,$,0,$,1,$,1,$,
,,christum,LEX,,1,1,1,3,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
16.4,praedestinatione,praedestinauit,GR,,0,1,1,2,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
17.1,iustificatione,iustificatione et,ADD,,0,0,1,1,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,$,1,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
17.2,ergo,/,OM,,1,1,1,3,,0,$,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,0,0,$,1,0,0,$,0,$,0,$,0,$,0,$,0,$,AR 62 alia manu?
18.1,adhuc,iam,LEX,,1,1,1,3,,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,1,$,0,1,$,0,$,1,0,1,$,0,$,0,$,0,$,0,$,
18.2,enim,ergo,LEX,,1,1,1,3,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,
18.3,habemus,habeamus,GR,,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,
18.4,laudemus,laudamus,GR,,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,$,0,$,0,1,0,$,1,$,1,$,1,$,1,$,
18.5,deum,dominum,LEX,ABBR,0,0,0,0,,1,$,0,$,1,$,0,$,1,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
18.6,in his enim quae iam habemus laudemus deum largitorem,/,OM,SAUT,1,0,2,3,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,0,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,BB 68 (check in ms.: is 'enim' there?)
19.1,in his,in his enim,ADD,,1,1,1,3,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
19.2,nondum,non,LEX,,0,1,0,1,,0,$,0,$,0,$,0,$,1,$,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
19.3,teneamus,tenemus,GR,,0,1,0,1,,1,$,1,$,1,$,0,$,1,$,1,$,1,$,0,$,0,$,1,$,1,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,1,$,0,$,1,0,$,1,$,0,1,1,$,1,$,1,$,1,$,1,$,
20.1,accipiendo,suscipiendo,LEX,,1,1,0,2,,1,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
20.2,dicimus,dicicimus,SPEL,,0,1,0,1,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
21.1,quia1,quae,LEX,ABBR,0,0,0,0,,0,$,1,$,1,$,0,$,1,$,1,$,1,$,0,$,1,$,1,$,1,$,0,$,1,$,1,$,1,$,1,$,1,$,0,$,1,$,0,$,1,1,$,0,$,1,$,1,$,0,$,0,$,0,$,0,$,
,,quod,LEX,ABBR,0,0,0,0,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,$,0,$,1,$,0,$,0,$,0,$,0,$,0,$,1,$,0,$,1,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
21.2,quia dedi tibi et aliter dicimus debes mihi,/,OM,SAUT,1,0,2,3,,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,1,0,0,$,0,0,$,0,$,0,$,0,$,0,$,0,$,0,$,0,$,
